Date,Akagera STD,OLD MUTUAL,Virunga Lodge HP POC,BK HQ,BK HP II,Mille Collines,Akagera HP,Starbucks,Question Coffee,Hotel Talent Pool,Old Mutual,Kiss FM,Royal FM,AVIPRO,Prime Insurance,Kivu Noir Cafe,Jibu,WiredIn,Alliance for Healthy Communities,AmaliTech,Tropical Plaza,Hill View Hotel,Caferwa - Kivu Noir KSEZ
20-Apr,12,4.3,4,0,0,0,7.8,5.9,13,167,4.8,5.8,3.8,0,1,43,0.5,0.1,0.6,0,0,,
21-Apr,15,5.8,5.3,6.1,0.1,0,38,7.3,20,127,5.8,20,38,0,2.9,68,0.4,0.1,19,1.4,0,,
22-Apr,13,88,5,52,54,0,78,47,39,90,88,28,44,51,62,63,33,34,29,0.9,0,,
23-Apr,8.8,108,12,48,67,0,81,43,40,62,108,47,48,33,34,50,22,25,34.6,89,0,,
24-Apr,15,91,3.1,24,22,0,75,41,35,99,91,36,55,32,65,51,47,37,19,0,0,,
25-Apr,13,99,4.5,0,0,0,47,47,53,75,99,34,60,31,34,94,9.5,25,8.3,0,0,,
26-Apr,10,14,15,0,0,0,28,14,25,88,14,13,14,9.2,2.6,63,2.6,0.4,1.9,0,0,,
27-Apr,14,4.9,4,0,0,0,19,11,32,106,4.9,7.3,2.4,5.6,3.4,59,0.9,0.4,0.6,0,0,,
28-Apr,17,72,6.3,0,0,0,103,48,35,82,72,39,69,43,54,100,39,21,26,0,0,,
29-Apr,12,96,5,0,0,0,91,41,66,64,96,30,44,40,39,47,24,45,30,0,0,,
30-Apr,30,100,2,0,0,0,86,37,44,92,100,33,52,38,33,77,43,28,17,0,0,,
1-May,11,11,12,0,0,0,27,13,24,71,11,20,62,4.4,3.1,2.6,1.5,0.1,4,0,0,,
2-May,14,13,5,0,0,0,34,10,23,99,13,26,59,0.7,8.4,68,4.4,0.1,7.7,0,0,,
3-May,7.5,0.9,7.8,0,0,0,35,18,55,90,0.9,5.1,39,7.6,10,88,2.7,0,2.7,0,30,,
4-May,0,1.6,8.9,0,0,0,30,9.4,19,84,1.6,4.2,4.4,0.6,5.5,77,3.7,0,3.5,0,54,,
5-May,9.7,82,6.9,0,0,0,126,63,28,75,82,35,51,41,59,84,56,37,27,0,74,,
6-May,17,74,10,0,0,0,76,39,74,106,74,35,48,49,46,85,36,46,20,0,60,,
7-May,14,85,18,0,0,0,75,46,38,112,85,27,60,44,41,76,41,23,32,0,47,,
8-May,8,81,7.3,0.1,0.5,0,70,34,35,63,81,22,59,55,42,79,44,91,32,0,48,,
9-May,21,61,1.2,0,0,0,90,25,25,76,61,35,66,39,42,96,28,83,17,0,54,,
10-May,15,3.6,1.5,0,0,0,21,21,11,48,3.6,4.1,13,8.6,0,80,0.7,0.3,4.6,0,45,,
11-May,20,9.8,4.3,0,0,0,18,19,13,97,9.8,4.5,9.2,12,0,87,0.1,1,3.9,0,47,,
12-May,17,83,9.5,0,0,0,90,32,37,86,83,32,72,39,0,101,61,38,21,0,43.7,0,7.1
13-May,22,65,4.1,0,0,0,85,59,50,81,65,41,80,52,0,117,26,32,33,0,50.2,0,0
14-May,34,77,5.5,0.1,0.3,0,69,28,32,29.1,77,31,76,47,0,124,31,57,28,0,52,0,0
15-May,22,76,6.3,0,0,0,77,38,44,9.7,76,26,67,37,0,106,24,39,39,0,43,0,0
16-May,19,63,9.5,0,0,0.1,72,24,22,8.7,63,31,73,60,0,62,26,0,17,21,53,0,0
17-May,18,7,6.1,0,0,0,32,11,20,9,7,8.1,29,8.1,0,75,0.4,0,5.8,6.7,40,0,0
